Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54870256,There Is No Antimemetics Division,qntm,"qntm, qntm",Sam  Hughes,"=""""","=""""",5,4.16,,Kindle Edition,220,2020,2020,2025/10/26,2025/10/26,,,read,"Very cool, very interesting, very weird.",,,1,0
173338910,"Waybound (Cradle, #12)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.62,Hidden Gnome Publishing,Kindle Edition,518,2023,2023,2025/10/23,2025/10/23,,,read,,,,1,0
59515764,"Dreadgod (Cradle, #11)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.62,Hidden Gnome Publishing,Kindle Edition,464,2022,2022,2025/10/23,2025/10/23,,,read,,,,1,0
57640065,"Reaper (Cradle, #10)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.66,Hidden Gnome Publishing,Kindle Edition,465,2021,2021,2025/10/23,2025/10/23,,,read,,,,1,0
55595995,"Bloodline (Cradle, #9)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.50,Hidden Gnome Publishing,Kindle Edition,378,2021,2021,2025/10/15,2025/10/15,,,read,,,,1,0
50789354,"Uncrowned (Cradle, #7)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.57,Hidden Gnome Publishing,Kindle Edition,336,2019,2019,2025/10/15,2025/10/15,,,read,,,,1,0
55423083,"Wintersteel (Cradle, #8)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.68,Hidden Gnome Publishing,Paperback,540,2020,2020,2025/10/09,2025/10/09,,,read,,,,1,0
43895031,"Underlord (Cradle, #6)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.61,Hidden Gnome Publishing,Kindle Edition,400,2019,2019,2025/10/08,2025/10/08,,,read,,,,1,0
40280403,"Ghostwater (Cradle, #5)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.55,Hidden Gnome Publishing,Kindle Edition,310,2018,2018,2025/10/07,2025/10/07,,,read,,,,1,0
36332410,"Skysworn (Cradle, #4)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.38,Hidden Gnome Publishing,Kindle Edition,292,2017,2017,2025/10/07,2025/10/07,,,read,,,,1,0
35023786,"Blackflame (Cradle, #3)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.50,Hidden Gnome Publishing,Kindle Edition,370,2017,2017,2025/10/07,2025/10/07,,,read,,,,1,0
32283608,"Soulsmith (Cradle, #2)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.32,Hidden Gnome Publishing,Kindle Edition,284,2016,2016,2025/10/07,2025/10/07,,,read,,,,1,0
30558257,"Unsouled (Cradle, #1)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.14,Hidden Gnome Publishing,Kindle Edition,294,2016,2016,2025/10/03,2025/10/03,,,read,,,,1,0
150779155,"The Invention of Prehistory: Empire, Violence, and Our Obsession with Human Origins",Stefanos Geroulanos,"Geroulanos, Stefanos",,"=""1324091452""","=""9781324091455""",4,3.73,Liveright,Hardcover,512,2024,2024,,2025/07/25,,,read,,,,1,0
61539,The Structure of Scientific Revolutions,Thomas S. Kuhn,"Kuhn, Thomas S.",,"=""0226458083""","=""9780226458083""",0,4.03,University of Chicago Press,Paperback,226,1996,1962,,2025/07/05,to-read,to-read (#18),to-read,,,,0,0
40180098,The Overstory,Richard Powers,"Powers, Richard",,"=""039335668X""","=""9780393356687""",0,4.11,W.W. Norton & Company,Paperback,502,2019,2018,,2025/06/07,to-read,to-read (#17),to-read,,,,0,0
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",4,4.51,Scholastic Press,Hardcover,387,2025,2025,2025/06/04,2025/06/04,,,read,3.5,,,1,0
39913740,"The Sentence is Death (Hawthorne & Horowitz, #2)",Anthony Horowitz,"Horowitz, Anthony",,"=""""","=""""",3,3.98,Cornerstone Digital,ebook,373,2018,2018,2025/05/27,2025/05/27,,,read,"Pretty mid, at least it wasn’t predictable tho…",,,1,0
179311316,Why We Die: The New Science of Aging and the Quest for Immortality,Venki Ramakrishnan,"Ramakrishnan, Venki",,"=""0063113279""","=""9780063113275""",4,4.03,William Morrow,Hardcover,320,2024,2024,2025/05/20,2025/05/20,,,read,,,,1,0
171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Haidt, Jonathan",,"=""0593655036""","=""9780593655030""",5,4.32,Penguin Press,Hardcover,400,2024,2024,2025/05/03,2025/05/03,,,read,Don’t think i disagreed with a single point. Very well written and easy to read,,,1,0
57423807,Plagues upon the Earth: Disease and the Course of Human History,Kyle Harper,"Harper, Kyle",,"=""069119212X""","=""9780691192123""",0,4.19,Princeton University Press,Hardcover,704,2021,2021,,2025/05/02,to-read,to-read (#16),to-read,,,,0,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",0,4.23,Harper Business,Paperback,623,2006,1949,,2025/04/10,to-read,to-read (#15),to-read,,,,0,0
13271378,Brother,David Chariandy,"Chariandy, David",,"=""0771022905""","=""9780771022906""",0,3.97,McClelland & Stewart,Hardcover,192,2017,2017,,2025/04/10,to-read,to-read (#14),to-read,,,,0,0
91950,The Myth of Sisyphus,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0141182008""","=""9780141182001""",5,4.17,Penguin Classics,Paperback,192,2013,1942,2025/03/12,2025/03/12,,,read,Pretty absurd man<br/>4.5,,,1,0
18952341,"The Grace of Kings (The Dandelion Dynasty, #1)",Ken Liu,"Liu, Ken",,"=""1481424270""","=""9781481424271""",3,3.80,Saga Press,Hardcover,640,2015,2015,2025/03/10,2025/03/10,,,read,Mid,,,1,0
36064445,Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0241300657""","=""9780241300657""",3,3.91,Allen Lane,Paperback,272,2018,2018,2025/02/23,2025/02/23,,,read,Very opinionated - should have probably read some of the other books in the series first,,,1,0
